period_end,metric,value,unit
2026-03-31,revenue,649.0,USD_M
2025-03-31,revenue,676.0,USD_M
2024-03-31,revenue,627.0,USD_M
2023-03-31,revenue,836.0,USD_M
2022-03-31,revenue,864.0,USD_M
2021-03-31,revenue,714.0,USD_M
2020-03-31,revenue,665.0,USD_M
2019-03-31,revenue,747.0,USD_M
2018-03-31,revenue,711.0,USD_M
2017-03-31,revenue,530.0,USD_M
2016-12-31,revenue,474.0,USD_M
2016-09-30,revenue,510.0,USD_M
2016-06-30,revenue,499.0,USD_M
2016-03-31,revenue,449.0,USD_M
2026-03-31,operating_income,-47.0,USD_M
2025-03-31,operating_income,40.0,USD_M
2024-03-31,operating_income,55.0,USD_M
2023-03-31,operating_income,197.0,USD_M
2022-03-31,operating_income,202.0,USD_M
2021-03-31,operating_income,88.0,USD_M
2020-03-31,operating_income,107.0,USD_M
2019-03-31,operating_income,180.0,USD_M
2018-03-31,operating_income,180.0,USD_M
2017-03-31,operating_income,71.0,USD_M
2016-12-31,operating_income,474.0,USD_M
2016-09-30,operating_income,510.0,USD_M
2016-06-30,operating_income,499.0,USD_M
2016-03-31,operating_income,449.0,USD_M
